title,genre
"古見さんは、コミュ症です。 27 [Komi-san wa Komyushou Desu. 27] (Komi Can't Communicate, #27)",Comics
Hulk Vs. Thor: Banner of War,Comics
Green Lantern: Alliance,Comics
Poison Ivy #5,Comics
"Portaltreet del 2 (Nordlys, #6)",Comics
Trial of the Amazons,Comics
"見える子ちゃん 8 (Mieruko-chan, #8)",Comics
Star Trek: Lower Decks #2,Comics
"Teen Titans Academy, Vol. 2: Exit Wounds",Comics
"アオのハコ 7 [Ao no Hako 7] (Blue Box, #7)",Comics
Star Wars: Visions (2022) #1,Comics
"Adventureman, Volume 2: A Fairy Tale of New York (Adventureman, 2)",Comics
All-New Firefly: The Gospel According to Jayne Vol. 1,Comics
"あかね噺 3 (Akane-banashi, #3)",Comics
The Man Who Fell to Earth: The Official Movie Adaptation,Comics
House of Slaughter #10,Comics
Wonder Woman: Evolution,Comics
Batgirls #11,Comics
"ルリドラゴン 1 (RuriDragon, #1)",Comics
Junkyard Joe #1,Comics
Kaya #1,Comics
Conversations Behind the Kitchen Door: 50 American Chefs Chart Today’s Food Culture,Cookbooks
What's for Dessert: Simple Recipes for Dessert People,Cookbooks
All about Cookies: A Milk Bar Baking Book,Cookbooks
Baking By Feel: Recipes to Sort Out Your Emotions (Whatever They Are Today!),Cookbooks
The Siete Table: Nourishing Mexican-American Recipes from Our Kitchen,Cookbooks
Go-To Dinners: A Barefoot Contessa Cookbook,Cookbooks
Castle Rock Kitchen: Wicked Good Recipes from the World of Stephen King [A Cookbook],Cookbooks
"The Lost Metal (Mistborn, #7)",Fantasy
"Bloodmarked (Legendborn, #2)",Fantasy
"A Light in the Flame (Flesh and Fire, #2)",Fantasy
The Cloisters,Fantasy
"Charm (Crave, #5)",Fantasy
"Heart of the Sun Warrior (The Celestial Kingdom Duology, #2)",Fantasy
The Ones We Burn,Fantasy
"The World We Make (Great Cities, #2)",Fantasy
"Keeper of Enchanted Rooms (Whimbrel House, #1)",Fantasy
Tread of Angels,Fantasy
"The Luminaries (The Luminaries, #1)",Fantasy
"Cursed (Gilded, #2)",Fantasy
The Choice (The Dragon Heart Legacy #3),Fantasy
"Stellarlune (Keeper of the Lost Cities, #9)",Fantasy
"Gleanings: Stories from the Arc of a Scythe (Arc of a Scythe, #3.5)",Fantasy
"A Restless Truth (The Last Binding, #2)",Fantasy
The Wilderwomen,Fantasy
Even Though I Knew the End,Fantasy
"Saint (Fable, #0.5)",Fantasy
A Thousand Heartbeats,Fantasy
A Wilderness of Stars,Fantasy
"The Stars Undying (Empire Without End, #1)",Fantasy
"The Serpent in Heaven (Gunnie Rose, #4)",Fantasy
Silver in the Mist,Fantasy
"Children of Ragnarok (Runestone Saga, #1)",Fantasy
"The Wicked Remain (The Grimrose Girls, #2)",Fantasy
"Empire of Exiles (Books of the Usurper, #1)",Fantasy
Cruel Illusions,Fantasy
When Franny Stands Up,Fantasy
"The Voyage of the Forgotten (The Legacy of the Mercenary Kings, #3)",Fantasy
Africa Risen: A New Era of Speculative Fiction,Fantasy
"The Last Hero (The First Sister Trilogy, #3)",Fantasy
Moira's Pen: A Queen's Thief Collection,Fantasy
The Vermilion Emporium,Fantasy
"Raven Unveiled (Fallen Empire, #3)",Fantasy
The Sorcerer of Pyongyang,Fantasy
House of Yesterday,Fantasy
Origins of The Wheel of Time: The Legends and Mythologies that Inspired Robert Jordan,Fantasy
The Red Scholar's Wake,Fantasy
Son of the Salt Chaser,Fantasy
At Midnight,Fantasy
The Last Huntress (Mirror Realm #1),Fantasy
The Killing God,Fantasy
"Untamed (The Crystal Island, #2)",Fantasy
Desert Creatures,Fantasy
"Of Shadow and Moonlight (Shadow and Moonlight, #1)",Fantasy
"Roll Call (Dungeons & Dragons: Dungeon Club, #1)",Fantasy
"Nightwatch Over Windscar (The Weep, #2)",Fantasy
"Moongarden (Plotting the Stars, #1)",Fantasy
Mihi Ever After,Fantasy
Rise of the Demon (Kara Gillian #9),Fantasy
Nightfall in the Garden of Deep Time,Fantasy
"External Forces (Marrowbone Spells, #2)",Fantasy
"The Last Storm (Rogue X Ara, #1)",Fantasy
"Trial of the Sun Queen (Artefacts of Ouranos, #1)",Fantasy
"He-Man and the Masters of the Universe: I, Skeletor (Tales of Eternia, #2)",Fantasy
Convergence,Fantasy
The Six Deaths of the Saint (Into Shadow),Fantasy
Angels Before Man,Fantasy
A Consuming Fire,Fantasy
Critical Role: The Mighty Nein—The Nine Eyes of Lucien,Fantasy
"Monster's Obsession (Monster & Me, #2)",Fantasy
Undercover (Into Shadow),Fantasy
The Two Doctors Górski,Fantasy
Persephone (Into Shadow),Fantasy
Sir Callie and the Champions of Helston,Fantasy
What the Dead Know (Into Shadow),Fantasy
When The Banshee Knocks,Fantasy
Pulling the Wings Off Angels,Fantasy
Into the Forest: Tales of the Baba Yaga,Fantasy
"Arazan's Wolves (Ranger's Apprentice: The Royal Ranger, #6)",Fantasy
The Garden (Into Shadow),Fantasy
"Leopard's Scar (Leopard People, #13)",Fantasy
"Out of the Mirror, Darkness (Into Shadow)",Fantasy
"Cast in Eternity (Chronicles of Elantra, #17)",Fantasy
"The Quarrygate Gambit (The Streets of Maradaine, #4)",Fantasy
"Reborn Throne (Shattered Kingdom, #7)",Fantasy
The Alchemy of Sorrow,Fantasy
The Shuddering City,Fantasy
"Rising Feather (The Forgotten Angel, #3)",Fantasy
"Blood of Torbatt (The Lost Faces, #2)",Fantasy
The Candles Are Burning (Into Shadow),Fantasy
Illuminations,Fantasy
"Wrapped up in Christmas (Frost & Crowe Mystery, #2)",Fantasy
"The Atlas Paradox (The Atlas, #2)",Fantasy
If You Could See the Sun,Fantasy
Such Sharp Teeth,Fantasy
"Greywaren (Dreamer Trilogy, #3)",Fantasy
"Night of the Raven, Dawn of the Dove",Fantasy
"Seasparrow (Graceling Realm, #5)",Fantasy
Malice House,Fantasy
"Strike the Zither (Kingdom of Three, #1)",Fantasy
The Storyteller's Death,Fantasy
"River Woman, River Demon",Fantasy
The Whispering Dark,Fantasy
"Unbroken Bonds (The Bonds That Tie, #6)",Fantasy
Self-Portrait with Nothing,Fantasy
The Hollow Kind,Fantasy
"Into the Riverlands (The Singing Hills Cycle, #3)",Fantasy
"Daughter of Darkness (Viridian Deep, #2)",Fantasy
Now Is Not the Time to Panic,Fiction
We Are the Light,Fiction
"Astrid Parker Doesn't Fail (Bright Falls, #2)",Fiction
The Ones We Burn,Fiction
"The World We Make (Great Cities, #2)",Fiction
White Horse,Fiction
Tread of Angels,Fiction
Better than Fiction,Fiction
The Lindbergh Nanny,Fiction
We All Want Impossible Things,Fiction
"A World of Curiosities (Chief Inspector Armand Gamache, #18)",Fiction
"A Restless Truth (The Last Binding, #2)",Fiction
A Quiet Life,Fiction
How to Excavate a Heart,Fiction
Even Though I Knew the End,Fiction
Flight,Fiction
"Saint (Fable, #0.5)",Fiction
A Thousand Heartbeats,Fiction
The Personal Assistant,Fiction
The Resemblance,Fiction
Small Game: A Novel,Fiction
A Wilderness of Stars,Fiction
Salt and Sugar,Fiction
Scattered Showers,Fiction
Winterland,Fiction
Gilded Mountain,Fiction
The Girls in Navy Blue,Fiction
"Someday, Maybe",Fiction
Angels of the Resistance: A WWII Novel,Fiction
All The Blood We Share,Fiction
We Deserve Monuments,Fiction
"Wayward (Wanderers, #2)",Fiction
Pride and Protest,Fiction
"One Last Chance (Blood Ties, #3)",Fiction
"Dead and Gondola (Christie Bookshop, #1)",Fiction
"The Stars Undying (Empire Without End, #1)",Fiction
"Dawnlands (The Fairmile, #3)",Fiction
Blackwater Falls,Fiction
The Stolen Book of Evelyn Aubrey,Fiction
The Magic Kingdom,Fiction
"The Reluctant Countess (Would-Be Wallflowers, #2)",Fiction
"Reader, I Murdered Him",Fiction
Aesthetica,Fiction
"Children of Ragnarok (Runestone Saga, #1)",Fiction
They're Going to Love You,Fiction
Hold You Down,Fiction
"Empire of Exiles (Books of the Usurper, #1)",Fiction
Jasmine Zumideh Needs a Win,Fiction
The Banned Bookshop of Maggie Banks,Fiction
Toad,Fiction
The Lies We Tell,Fiction
Sugaring Off,Fiction
The Blackout Book Club,Fiction
A Ghost of Caribou (Alex Carter #3),Fiction
The Call of the Wrens,Fiction
When Franny Stands Up,Fiction
"The Voyage of the Forgotten (The Legacy of the Mercenary Kings, #3)",Fiction
Sacrificio,Fiction
Africa Risen: A New Era of Speculative Fiction,Fiction
"Night, Forgotten",Fiction
The Cool Code,Fiction
"The Last Hero (The First Sister Trilogy, #3)",Fiction
Moira's Pen: A Queen's Thief Collection,Fiction
Belittled Women,Fiction
The Vermilion Emporium,Fiction
A Matter of Happiness,Fiction
The Sorcerer of Pyongyang,Fiction
None of This Would Have Happened If Prince Were Alive: A Novel,Fiction
House of Yesterday,Fiction
The Wintering Place,Fiction
Lost in the Long March,Fiction
The Best American Short Stories 2022,Fiction
The Double Agent (Alexsi #2),Fiction
The Red Scholar's Wake,Fiction
To Each This World,Fiction
Like the Wind,Fiction
At Midnight,Fiction
The Hunger Between Us,Fiction
The Killing God,Fiction
Midnight at the Shelter,Fiction
What a Trip,Fiction
Defending Alice: A Novel of Love and Race in the Roaring Twenties,Fiction
"Untamed (The Crystal Island, #2)",Fiction
Desert Creatures,Fiction
My Good Man,Fiction
Murder Most Royal (Her Majesty the Queen Investigates #3),Fiction
"Nightwatch Over Windscar (The Weep, #2)",Fiction
"The Ice Orphan (Rewilding Reports, #3)",Fiction
"Moongarden (Plotting the Stars, #1)",Fiction
"His Delightful Lady Delia (American Royalty, #3)",Fiction
Mihi Ever After,Fiction
Morning Sun in Wuhan,Fiction
An Act of Foul Play (Lady Hardcastle #9),Fiction
Tale of the Dreamer's Son,Fiction
"Caesar's Lord (Constantine's Empire, #3)",Fiction
Our Missing Hearts,Fiction
Demon Copperhead,Fiction
Hester,Fiction
"The Atlas Paradox (The Atlas, #2)",Fiction
"The Passenger (The Passenger, #1)",Fiction
The Cool Code,Graphic Novels
Number One Is Walking: My Life in the Movies and Other Diversions,Graphic Novels
It's Lonely at the Centre of the Earth,Graphic Novels
"Roll Call (Dungeons & Dragons: Dungeon Club, #1)",Graphic Novels
Sir Callie and the Champions of Helston,Graphic Novels
The Bad Guys in the Others?! (The Bad Guys #16),Graphic Novels
"Cat Kid Comic Club: Collaborations (Cat Kid Comic Club, #4)",Graphic Novels
Batgirls Vol. 1,Graphic Novels
"Superman: Son of Kal-El, Vol. 2: The Rising",Graphic Novels
"Twig, Volume 1",Graphic Novels
"Deadly Class, Volume 12: A Fond Farewell, Part Two",Graphic Novels
Batman: Shadow War,Graphic Novels
Below Ambition,Graphic Novels
Captain Carter: Woman Out of Time,Graphic Novels
Star Wars: The Halcyon Legacy,Graphic Novels
Gokurakugai (Volume #1),Graphic Novels
Einstein,Graphic Novels
Diana and Nubia: Princesses of the Amazons,Graphic Novels
"Pucky, Prince of Bacon: A Breaking Cat News Adventure",Graphic Novels
"The New Sinister (The Amazing Spider-Man, #2)",Graphic Novels
Wonder Girl: Homecoming,Graphic Novels
Something is Killing the Children #26,Graphic Novels
She-Hulk #7,Graphic Novels
Godzilla vs. the Mighty Morphin Power Rangers,Graphic Novels
She-Hulk #8,Graphic Novels
"Justice League, Vol. 2: United Order",Graphic Novels
"Star Wars: The Mandalorian, Vol. 1: Season One, Part One",Graphic Novels
Spider-Gwen: Gwenverse,Graphic Novels
"Fantastic Four, Volume 11: Reckoning War, Part II",Graphic Novels
Artist,Graphic Novels
"Marauders, Vol. 1",Graphic Novels
Buffy '97,Graphic Novels
Seven Secrets Vol. 3,Graphic Novels
The Return of Effie Kolb and Others (Hellboy and the B.P.R.D. #5.6),Graphic Novels
Aquamen Vol. 1,Graphic Novels
Iron Fist: The Shattered Sword,Graphic Novels
Batman/Spawn: The Classic Collection,Graphic Novels
Wolverine: Patch,Graphic Novels
Cowboy Bebop: Supernova Swing,Graphic Novels
"Teenage Mutant Ninja Turtles: Reborn, Volume 5 – Mystic Sister",Graphic Novels
Noir Burlesque 2,Graphic Novels
Simulacri: Brecce,Graphic Novels
Kalya n. 1: Il frammento del caduto,Graphic Novels
Firefly: Keep Flying #1,Graphic Novels
Diabolik Anno LXI n. 11: Tutto ha una fine,Graphic Novels
Julia n. 290: Una nuova vita,Graphic Novels
Nathan Never n. 378: Il pianeta delle nebbie,Graphic Novels
Il libro dei sogni,Graphic Novels
Lore Olympus: Volume Three,Graphic Novels
The Heartstopper Yearbook,Graphic Novels
"Saga, Volume 10",Graphic Novels
"The Night Eaters, Vol. 1: She Eats the Night",Graphic Novels
Thieves,Graphic Novels
Frizzy,Graphic Novels
Anne: An Adaptation of Anne of Green Gables (Sort Of),Graphic Novels
"SPY×FAMILY 10 (SPY×FAMILY, #10)",Graphic Novels
Where Black Stars Rise,Graphic Novels
Twelfth Grade Night,Graphic Novels
Numb to This: Memoir of a Mass Shooting,Graphic Novels
Hollow,Graphic Novels
Love & Vermin,Graphic Novels
No Sleep Till Shengal,Graphic Novels
Spirit Week,Graphic Novels
Revenge of the Librarians,Graphic Novels
"How to Win the War on Truth: An Illustrated Guide to How Mistruths Are Sold, Why They Stick, and How to Reclaim Reality",Graphic Novels
"Something is Killing the Children, Vol. 5",Graphic Novels
You Are Home,Graphic Novels
Rain,Graphic Novels
"Follow Me Down (Reckless, #5)",Graphic Novels
My Aunt Is a Monster,Graphic Novels
"She-Hulk by Rainbow Rowell, Vol. 1: Jen, Again",Graphic Novels
The Closet,Graphic Novels
"Little Monsters, Volume 1",Graphic Novels
"Crimson Reign (Star Wars: Darth Vader, #4)",Graphic Novels
"Narwhalicorn and Jelly (Narwhal and Jelly, #7)",Graphic Novels
Side Effects,Graphic Novels
"Crimson Reign (Star Wars: Doctor Aphra, #4)",Graphic Novels
"World Without Love (The Amazing Spider-Man, #1)",Graphic Novels
Refrigerator Full of Heads,Graphic Novels
De Cape et de Mots,Graphic Novels
Hulk Vs. Thor: Banner of War,Graphic Novels
Green Lantern: Alliance,Graphic Novels
Bird  & Squirrel All Together: A Graphic Novel (Bird & Squirrel #7),Graphic Novels
"Portaltreet del 2 (Nordlys, #6)",Graphic Novels
Trial of the Amazons,Graphic Novels
Le Ciel pour conquête,Graphic Novels
"Teen Titans Academy, Vol. 2: Exit Wounds",Graphic Novels
Star Wars: Visions (2022) #1,Graphic Novels
"Adventureman, Volume 2: A Fairy Tale of New York (Adventureman, 2)",Graphic Novels
All-New Firefly: The Gospel According to Jayne Vol. 1,Graphic Novels
The Man Who Fell to Earth: The Official Movie Adaptation,Graphic Novels
House of Slaughter #10,Graphic Novels
Iyanu: Child of Wonder Volume 2,Graphic Novels
Wonder Woman: Evolution,Graphic Novels
"Bonding: A Love Story About People and Their Parasites (Bonding, 1)",Graphic Novels
W.i.t.c.h.. 20 anni di magia. Da Il sigillo di Nerissa a Il soffio dell’odio (Vol. 4),Graphic Novels
The Crumrin Chronicles Vol. 2: The Lost and the Lonely,Graphic Novels
Quaderni ucraini. Diario di un'invasione,Graphic Novels
Dragonero  Mondo oscuro n. 1: A guardia della notte,Graphic Novels
Dragonero Il Ribelle n. 36: Morte di un tiranno,Graphic Novels
Tread of Angels,Historical Fiction
The Lindbergh Nanny,Historical Fiction
Trespasses,Historical Fiction
Even Though I Knew the End,Historical Fiction
"A Restless Truth (The Last Binding, #2)",Historical Fiction
Winterland,Historical Fiction
Gilded Mountain,Historical Fiction
Angels of the Resistance: A WWII Novel,Historical Fiction
The Girls in Navy Blue,Historical Fiction
All The Blood We Share,Historical Fiction
"Dawnlands (The Fairmile, #3)",Historical Fiction
The Stolen Book of Evelyn Aubrey,Historical Fiction
The Magic Kingdom,Historical Fiction
"Reader, I Murdered Him",Historical Fiction
