Title,Author,Original_Category,Description
The Goddess and the Nation,Sumathi Ramaswamy,History,"A history of the role that images of Mother India played in helping a vast, heterogeneous population to imagine the Indian nation and associate themselves with it."
The Past Before Us,Romila Thapar,History,"“An authority on thousands of years of India’s past, Thapar has a rare and special perspective on the country it was and the country it is becoming.” —Financial Times Winner of the Kluge Prize Romila Thapar presents a sweeping survey of the historical traditions of North India, revealing a deep consciousness of history embedded in classical Indian literature. The claim, often made, that India—uniquely among civilizations—lacks historical writing distracts us from a more pertinent question, according to Romila Thapar: how to recognize the historical sense of societies whose past is recorded in ways very different from European conventions. In The Past Before Us, a distinguished scholar of ancient India guides us through a panoramic survey of the historical traditions of North India. Thapar reveals a deep and sophisticated consciousness of history embedded in the diverse body of classical Indian literature. The history recorded in such texts as the Ramayana and the Mahabharata is less concerned with authenticating persons and events than with presenting a picture of traditions striving to retain legitimacy and continuity amid social change. Spanning an epoch of nearly twenty-five hundred years, from 1000 BCE to 1400 CE, Thapar delineates three distinct historical traditions: an Itihasa-Purana tradition of Brahman authors; a tradition composed mainly by Buddhist and Jaina scholars; and a popular bardic tradition. The Vedic corpus, the epics, the Buddhist canon and monastic chronicles, inscriptions, regional accounts, and royal biographies and dramas are all scrutinized afresh—not as sources to be mined for factual data but as genres that disclose how Indians of ancient times represented their own past to themselves."
Shivaji and His Times,Jadunath Sarkar,History,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. We have represented this book in the same form as it was first published. Hence any marks seen are left intentionally to preserve its true nature.
India: The Ancient Past,Burjor Avari,History,"This carefully crafted study presents the fascinating story of the development and establishment of India’s culture and civilization from early pre-history through to the early second millennium. Encompassing topics such as the Harappan Civilization, the rise of Hindu culture, the influx of Islam in the eighth and the eleventh/twelfth centuries and key empires, states and dynasties, India: The Ancient Past engages with methodological and controversial issues. Key features of this illustrated guide include: a range of maps illustrating different temporal and geographical regions selected source extracts at the end of each chapter, for review and reflection questions for discussion. This book provides comprehensive coverage of the political, spiritual, cultural and geographical history of India, making it an enriching read for anyone with an interest in this captivating period of history."
The Oxford Handbook of Aristotle,Christopher Shields,Philosophy,"This book reflects the lively international character of Aristotelian studies, drawing contributors from Europe, North America, and Asia. It also reflects the broad range of activity Aristotelian studies comprise today, informed by cutting-edge philological research and focusing as its core activity on textual exegesis and philosophical criticism."
Eurocentrism,Samir Amin,History,"Since its first publication twenty years ago, Eurocentrism has become a classic of radical thought. Written by one of the world’s foremost political economists, this original and provocative essay takes on one of the great ""ideological deformations"" of our time: Eurocentrism. Rejecting the dominant Eurocentric view of world history, which narrowly and incorrectly posits a progression from the Greek and Roman classical world to Christian feudalism and the European capitalist system, Amin presents a sweeping reinterpretation that emphasizes the crucial historical role played by the Arab Islamic world. Throughout the work, Amin addressesa broad set of concerns, ranging from the ideological nature of scholastic metaphysics to the meanings and shortcomingsof contemporary Islamic fundamentalism. This second edition contains a new introduction and concluding chapter, both of which make the author’s arguments even more compelling."
Undoing Gender,Judith Butler,History,"First Published in 2004. Routledge is an imprint of Taylor & Francis, an informa company."
A Concise History of Greece,Richard Clogg,History,"This book provides a concise, illustrated introduction to the history of modern Greece, with a new final chapter about Greek history and politics to the present day. 56 illustrations. 10 maps."
Ancient Communities of the Himalaya,Dinesh Prasad Saklani,History,"15 pictures. The work presents a comprehensive study of the ancient communities touching their history in all dimensions including socio-economic, politico-cultural and religious traits and aspects of the ancient people of the area. One of the objectives of the work has been to trace out the roots of the present Himalayan culture and find out the cultural components of ancient inhabitants in the present society."
METEOROLOGY,Aristotle,Philosophy,"�WE have already discussed the first causes of nature, and all natural motion, also the stars ordered in the motion of the heavens, and the physical element-enumerating and specifying them and showing how they change into one another-and becoming and perishing in general. There remains for consideration a part of this inquiry which all our predecessors called meteorology. It is concerned with events that are natural, though their order is less perfect than that of the first of the elements of bodies. They take place in the region nearest to the motion of the stars. Such are the milky way, and comets, and the movements of meteors. It studies also all the affections we may call common to air and water, and the kinds and parts of the earth and the affections of its parts. These throw light on the causes of winds and earthquakes and all the consequences the motions of these kinds and parts involve. Of these things some puzzle us, while others admit of explanation in some degree. Further, the inquiry is concerned with the falling of thunderbolts and with whirlwinds and fire-winds, and further, the recurrent affections produced in these same bodies by concretion. When the inquiry into these matters is concluded let us consider what account we can give, in accordance with the method we have followed, of animals and plants, both generally and in detail. When that has been done we may say that the whole of our original undertaking will have been carried out.�"
"Latin, Or, The Empire of the Sign",Françoise Waquet,Language Study,"A wide-ranging & highly readable history of Latin between the sixteenth & twentieth centuries - a period when it dominated the civic & sacred worlds of Europe and, arguably, the entire western world. Latin explores the institutional contexts in which the language was adopted & transmitted as well as the privilege it came to confer on those that studied it. Annotation. Though the once burning question of Latin's place in school curricula has been overshadowed by other issues, Waquet (Centre National de la Recherche Scientifique, Paris) feels the need for a resolutely historical account of the language that is not a pamphlet or an exercise in special pleading. She writes a social history of Latin in the modern era, analyzing the uses made of it and the discourses concerning it. The 1998 Le latin ou l'empire d'un signe, published by Editions Albin Michel, is translated by John Howe."
With Honour & Glory,Maj Gen Jagjit Singh,India,This Book Details The Nuclear Weapon Capabilities Of India And Pakistan Prior And Subsequent To The Pokharan And Chagai Tests Of 1998. It Also Deals Wth The Delivery Systems Available To Both Sides And With Possible Command Structure For The Emerging Nuclear Arsenals.
VANITY FAIR,"William Makepeace 1811-1863 Thackeray, William Allan 1869-1946 Neilson",History,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
Vishnu's Crowded Temple,Maria Misra,History,"As it enters its sixtieth year of independence, India stands on the threshold of superpower status. Yet India is strikingly different from all other global colossi. While it is the world’s most populous democracy and enjoys the benefits of its internationally competitive high-tech and software industries, India also contends with extremes of poverty, inequality, and political and religious violence. This accessible and vividly written book presents a new interpretation of India’s history, focusing particular attention on the impact of British imperialism on Independent India. Maria Misra begins with the rebellion against the British in 1857 and tracks the country’s advance to the present day. India’s extremes persist, the author argues, because its politics rest upon a peculiar foundation in which traditional ideas of hierarchy, difference, and privilege coexist to a remarkable degree with modern notions of equality and democracy. The challenge of India’s leaders today, as in the last sixty years, is to weave together the disparate threads of the nation’s ancient culture, colonial legacy, and modern experience."
The Dragon in the Land of Snows,Tsering Shakya,History,"Based entirely on unpublished primary sources, Tsering Shakya's groundbreaking history of modern Tibet shatters the popular conception of the country as an isolated Shangri-la unaffected by broader international developments. Shakya gives a balanced, blow-by-blow account of Tibet's ongoing struggle to maintain its independence and safeguard its cultural identity while being sandwiched between the heavyweights of Asian geopolitics: Britain, India, China, and the United States. With thorough documentation, Shakya details the Chinese depredations of Tibet, and reveals the failures of the Tibetan leadership's divided strategies. Rising above the simplistic dualism so often found in accounts of Tibet's contested recent history, The Dragon in the Land of Snows lucidly depicts the tragedy that has befallen Tibet and identifies the conflicting forces that continue to shape the aspirations of the Tibetan people today."
"Homer's Iliad, Books XX., XXI. and XXII., with Engl. Notes and a Literal Translation",Homerus,,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
Alexander the Great,Philip Freeman,Biography & Autobiography,"In the first authoritative biography of Alexander the Great written for a general audience in a generation, classicist and historian Philip Freeman tells the remarkable life of the great conqueror. The celebrated Macedonian king has been one of the most enduring figures in history. He was a general of such skill and renown that for two thousand years other great leaders studied his strategy and tactics, from Hannibal to Napoleon, with countless more in between. He flashed across the sky of history like a comet, glowing brightly and burning out quickly: crowned at age nineteen, dead by thirty-two. He established the greatest empire of the ancient world; Greek coins and statues are found as far east as Afghanistan. Our interest in him has never faded. Alexander was born into the royal family of Macedonia, the kingdom that would soon rule over Greece. Tutored as a boy by Aristotle, Alexander had an inquisitive mind that would serve him well when he faced formidable obstacles during his military campaigns. Shortly after taking command of the army, he launched an invasion of the Persian empire, and continued his conquests as far south as the deserts of Egypt and as far east as the mountains of present-day Pakistan and the plains of India. Alexander spent nearly all his adult life away from his homeland, and he and his men helped spread the Greek language throughout western Asia, where it would become the lingua franca of the ancient world. Within a short time after Alexander’s death in Baghdad, his empire began to fracture. Best known among his successors are the Ptolemies of Egypt, whose empire lasted until Cleopatra. In his lively and authoritative biography of Alexander, classical scholar and historian Philip Freeman describes Alexander’s astonishing achievements and provides insight into the mercurial character of the great conqueror. Alexander could be petty and magnanimous, cruel and merciful, impulsive and farsighted. Above all, he was ferociously, intensely competitive and could not tolerate losing—which he rarely did. As Freeman explains, without Alexander, the influence of Greece on the ancient world would surely not have been as great as it was, even if his motivation was not to spread Greek culture for beneficial purposes but instead to unify his empire. Only a handful of people have influenced history as Alexander did, which is why he continues to fascinate us."
Research Methods for Business Students,"M. N. K. Saunders, Adrian Thornhill, Philip Lewis",Business,"""This accessible and clearly written textbook provides a comprehensive and in-depth treatment of philosophical, methodological and ethical aspects of conducting business and management research. Illustrative case studies drawing on published research studies are used throughout and readers are given multiple opportunities to consolidate their learning through review and discussion questions, quizzes, and other exercises. At the end of each chapter a case study takes the reader through the realities and practicalities of applying the knowledge to a specific student research project. This will be an invaluable guide for all students seeking to understand and undertake business and management research."" Professor Natasha Mauthner, Newcastle University With over 400,000 copies sold, Research Methods for Business Students, is the definitive and market-leading textbook for Business and Management students conducting a research-led project or dissertation. The fully revised 8th edition answers key questions such as: How do I choose my topic and design the research? Why is research philosophy relevant to my research? How do I collect and analyse my data? When and what do I need to write? With the 8th edition you will discover: ü Fully updated chapters incorporating visual methods throughout, detailed insights on drafting the critical literature review, the latest EU data protection regulations, using audio recordings and visual images in observation research, collecting data using diaries, the use of online survey tools, and preparing and presenting an academic poster ü New cases using up-to-date scenarios at the end of each chapter ü Boxed examples throughout of research methods in the news, from student research and in published management research ü A glossary of clear definitions of over 700 research-related terms ü Practical guidance and opportunities for checking your learning and self-reflection to enable you to progress your own research ü Detailed chapters on choosing your topic, critically reviewing the literature, understanding philosophies, research design, access and ethics, secondary data, data collection methods and analysis techniques and writing about and presenting your research ü Teach yourself guides to research software available at www.pearsoned.co.uk/saunders with practice data sets About the authors Mark NK Saunders is Professor of Business Research Methods and Director of Postgraduate Research Programmes at Birmingham Business School, University of Birmingham. Philip Lewis was a Principal Lecturer and Adrian Thornhill was a Head of Department, both at the University of Gloucestershire."
Merchants of Tamilakam,Kanakalatha Mukund,Business & Economics,"This book analyses the relationship between the state, the temple, and society in the region of Tamilakam, and traces the distribution of power among these entities. The book provides an account of the different ports and dominions that existed during that period. It highlights the role played by the different dynasties such as the Cholas and Pallavas in the overall development of international trade. The book paints a picture of the business connections that the Tamil provinces shared with different parts of the world, from Rome to the South East. It further divulges the factors that led to the administrative developments during this period and the pivotal role played by the traders in bolstering the economy in Southern India."
Business,Mark Vernon,Business & Economics,"""Each entry begins with a definition of the term followed by an insightful description and discussion of the concept that is designed both to ground the subject firmly and outline engaging avenues of developments. The entries conclude with helpful cross-referencing and suggested further reading."" ""Business: The Key Concepts is a desktop resource for anyone who wants to learn more bout the commercial world that surrounds them.""--BOOK JACKET."
Business Research Methods,William G. Zikmund,Business & Economics,"This best-selling text continues in its seventh edition to provide the most current and comprehensive coverage of business research. Its student-friendly design contains numerous examples illustrating real-world research in management, marketing, finance, accounting, and other business areas. Business Research Methods, 7e, is the ideal text for undergraduate and first year MBA courses in marketing, management, or quantitative studies."
Accounting for Sustainability,"Anthony G. Hopwood, Jeffrey Unerman",Business & Economics,"If businesses and other organizations are to meet the many and complex challenges of sustainable development, then they all, both public and private, need to embed sustainability considerations into their decision-making and reporting. However, the translation of this aspiration into effective action is often inhibited by the lack of systems and procedures that take sustainability into account.Accounting for Sustainability: Practical Insights will help organizations to address these issues. The book sets out a number of tools and approaches that have been developed and applied by leading organizations to:- embed sustainability into decision-making, extending beyond an organization's boundaries to take into account suppliers, customers and other stakeholders;- measure and link sustainability and financial performance;- integrate sustainability into 'mainstream' reporting, both to management and external stakeholders.In-depth cases studies from Aviva, BT, the Environment Agency, EDF Energy, HSBC, Novo Nordisk, Sainsbury's and West Sussex County Council show in detail how accounting for sustainability works in practice in a wide range of organizational contexts.Published with The Prince's Charities: Accounting for Sustainability"
Environmental Planning and Management,Christian N. Madu,Political Science,"This book focuses on environmental planning and management. Environmental problems are not purely scientific; some of the major problems deal with poor management and the inability to involve people in environmental decision making process. The approach taken in this book is to review environmental problems as they are affected by poor planning and management. Understanding of management issues involved will help to get top management to buy into environmental management. The tendency is for top management to view environmental management efforts as expensive and wasteful to an organization. However, when top management is exposed to the high cost of doing nothing and the lack of competitiveness as a result of poor environmental quality, it is more likely to buy into the idea of environmental quality and work towards achieving sustainable goals."
Excel Formulas and Functions For Dummies,"Ken Bluttman, Peter G. Aitken",Computers,"Evaluate your investments, calculate credit card costs, predict expenses and more. This book makes these and other fomulaes easy."
Essentials of Business Economics,Dwivedi D.N.,Business & Economics,"There Has Been A Rapidly Growing Demand For Professional Managerial Manpower Over The Past Two Decades, As A Result Of Which Most Indian Universities And Management Institutes Had To Introduce Degree And Diploma Courses Right At The Undergraduate Level, With Business Economics As A Separate Paper. To Meet The Requirement Of The Students Who Take On Economics For Business For The First Time, The Subject Matter Needs To Be Within Their Comprehension Level That At The Same Time Lays A Strong Foundation. This Book Meets This Requirement By Presenting A Short, Simpler And Restructured Version Of The Author S Popular Book Managerial Economics. The Book Is As Per The Model Syllabus Of Business Economics Recommended By The Ugc For Bba Students, With Additional Topics For The Sake Of Completeness And To Cover The Syllabi Of A Large Number Of Universities. The Book Also Caters To Bbe, B Com, And Pgdbm Courses Run By The Indian Universities And Management Institutes. The Book Differs From The Author S Managerial Economics In Its Scope Of The Subject Matter And The Level Of Analytical Treatment, Inasmuch As Here Only The Microeconomic Aspects Of Managerial Economics Are Covered."
First Look 2007 Microsoft Office System,Katherine Murray,Business & Economics,This book looks at the new version of Microsoft Windows Office.
The Economics of Science and Technology,"M.P. Feldman, Albert N. Link, Donald S. Siegel",Business & Economics,"Science and technology have long been regarded as important determinants of economic growth. Edwin Mansfield (1971, pp. 1- 2), a pioneer in the economics of technological change, noted: Technological change is an important, if not the most important, factor responsible for economic growth . . . without question, [it] is one of the most important determinants of the shape and evolution of the American economy. Science and technology are even more important in the ""new economy,"" with its greater emphasis on the role of intellectual property and knowledge transfer. Therefore, it is unfortunate that most individuals rarely have the opportunity to explore the economic implications of science and technology. As a result, the antecedents and consequences of technological change are poorly understood by many in the general public. This lack of understanding is reflected in a recent survey conducted by the National Science Board (2000), summarized in Science & Engineering Indicators. ' As shown in Table 1. 1, the findings of the survey indicated that many Americans, despite a high level of interests in such matters, are not as well-informed about technological issues as they are about other policy issues. As shown in the table, individuals self assess, based on a scale from 1 to 100, their interest in science and technology policy issues as being relatively high, yet they self assess their knowledge or informedness about these issues relatively lower."
Ideas for Development,Robert Chambers,Business & Economics,"Our world seems entangled in systems increasingly dominated by power, greed, ignorance, self-deception and denial, with spiralling inequity and injustice. Against a backdrop of climate change, failing ecosystems, poverty, crushing debt and corporate exploitation, the future of our world looks dire and the solutions almost too monumental to consider.Yet all is not lost. Robert Chambers, one of the ?glass is half full? optimists of international development, suggests that the problems can be solved and everyone has the power at a personal level to take action, develop solutions and remake our world as it can and should be. Chambers peels apart and analyses aspects of development that have been neglected or misunderstood. In each chapter, he presents an earlier writing which he then reviews and reflects upon in a contemporary light before harvesting a wealth of powerful conclusions and practical implications for the future. The book draws on experiences from Africa, Asia and elsewhere, covering topics and concepts as wide and varied as irreversibility, continuity and commitment; administrative capacity as a scarce resource; procedures and principles; participation in the past, present and future; scaling up; behaviour and attitudes; responsible wellbeing; and concepts for development in the 21st century."
Small-scale Fisheries Management,"Robert S. Pomeroy, Neil Andrew",Agriculture,"Small-scale fisheries make up a large proportion of world's fisheries, both by catch and participation. Effective management is essential to ensure access to fish for food and income. Covering social and economic aspects of the fishery management and governance challenge, this book provides guidance on innovative and alternative management measures and methods for small-scale fisheries. The book covers key topics such as rights, policy, co-management, communications and trade, and is an important reference for researchers and students in fisheries science and management as well as fisheries re."
The Real Wealth of Nations,"Riane Eisler, Riane Tennenhaus Eisler",Business & Economics,"Bestselling author Riane Eisler (The Chalice and the Blade, which has sold more than 500,000 copies sold) shows that at the root of all of society's big problems is the fact that we don't value what matters. She then presents a radical reformulation of economics priorities focused on the home."
Resilience Engineering,"Erik Hollnagel, David D. Woods, Nancy Leveson",Business & Economics,"Annotation ""The aim of this book is to provide an introduction to resilience engineering of systems, covering both the theoretical and practical aspects. It is written for people who, as part of their work, are responsible for system safety on managerial or operational levels alike. Resilience Engineering will be directly relevant to professionals such as safety managers and engineers (line and maintenance), security experts, risk and safety consultants, human factors professionals and accident investigators.""--BOOK JACKET. Title Summary field provided by Blackwell North America, Inc. All Rights Reserved."
Search Methodologies,"Edmund K. Burke, Graham Kendall",Business & Economics,"The first edition of Search Methodologies: Introductory Tutorials in Optimization and Decision Support Techniques was originally put together to offer a basic introduction to the various search and optimization techniques that students might need to use during their research, and this new edition continues this tradition. Search Methodologies has been expanded and brought completely up to date, including new chapters covering scatter search, GRASP, and very large neighborhood search. The chapter authors are drawn from across Computer Science and Operations Research and include some of the world’s leading authorities in their field. The book provides useful guidelines for implementing the methods and frameworks described and offers valuable tutorials to students and researchers in the field. “As I embarked on the pleasant journey of reading through the chapters of this book, I became convinced that this is one of the best sources of introductory material on the search methodologies topic to be found. The book’s subtitle, “Introductory Tutorials in Optimization and Decision Support Techniques”, aptly describes its aim, and the editors and contributors to this volume have achieved this aim with remarkable success. The chapters in this book are exemplary in giving useful guidelines for implementing the methods and frameworks described.” Fred Glover, Leeds School of Business, University of Colorado Boulder, USA “[The book] aims to present a series of well written tutorials by the leading experts in their fields. Moreover, it does this by covering practically the whole possible range of topics in the discipline. It enables students and practitioners to study and appreciate the beauty and the power of some of the computational search techniques that are able to effectively navigate through search spaces that are sometimes inconceivably large. I am convinced that this second edition will build on the success of the first edition and that it will prove to be just as popular.” Jacek Blazewicz, Institute of Computing Science, Poznan University of Technology and Institute of Bioorganic Chemistry, Polish Academy of Sciences"
Letters from a Stoic,Lucius Annaeus Seneca,History,"A philosophy that saw self-possession as the key to an existence lived ‘in accordance with nature’, Stoicism called for the restraint of animal instincts and the severing of emotional ties. These beliefs were formulated by the Athenian followers of Zeno in the fourth century BC, but it was in Seneca (c. 4 BC– AD 65) that the Stoics found their most eloquent advocate. Stoicism, as expressed in the Letters, helped ease pagan Rome’s transition to Christianity, for it upholds upright ethical ideals and extols virtuous living, as well as expressing disgust for the harsh treatment of slaves and the inhumane slaughters witnessed in the Roman arenas. Seneca’s major contribution to a seemingly unsympathetic creed was to transform it into a powerfully moving and inspiring declaration of the dignity of the individual mind."
Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,Philosophy,wide criticism both from Western and Eastern scholars.
Thus Spoke Zarathustra,Friedrich Wilhelm Nietzsche,Philosophy,"A landmark work of philosophy and of literature, Thus Spoke Zarathustra is the fullest expression of Nietzche's belief that ""the object of mankind should lie in its highest individuals."" In his thirtieth year Zarathustra - the archetypal Ubermensch representative of supreme passion and creativity - abandons his home for the mountains, where he lives, literally and figuratively, on a level of experience far above the conventional standards of good and evil. The exuberant, poetic testimony of Nietzche's great messianic hero (and alter ego) is a vivid demonstration of the philosopher's genius."
In Praise of Idleness,Bertrand Russell,Education,"Intolerance and bigotry lie at the heart of all human suffering. So claims Bertrand Russell at the outset of In Praise of Idleness, a collection of essays in which he espouses the virtues of cool reflection and free enquiry; a voice of calm in a world of maddening unreason. From a devastating critique of the ancestry of fascism to a vehement defence of 'useless' knowledge, with consideration given to everything from insect pests to the human soul, this is a tour de force that only Bertrand Russell could perform."
A Treatise of Human Nature,David Hume,Philosophy,"Unpopular in its day, David Hume's sprawling, three-volume 'A Treatise of Human Nature' (1739-40) has withstood the test of time and had enormous impact on subsequent philosophical thought. Hume's comprehensive effort to form an observationally grounded study of human nature employs John Locke's empiric principles to construct a theory of knowledge from which to evaluate metaphysical ideas. A key to modern studies of eighteenth-century Western philosophy, the Treatise considers numerous classic philosophical issues, including causation, existence, freedom and necessity, and morality. Unabridged republication of the edition originally published by Oxford at the Clarendon Press, London, 1888."
